registration_number,partner_departments,subjects,title_en,title_fr,description_en,description_fr,start_date,end_date,status,profile_page_en,profile_page_fr,report_available_online,report_link_en,report_link_fr,owner_org,owner_org_title
C-0000509,,"HS,PO","Consultation on Propamocarb hydrochloride, Proposed Maximum Residue Limit PMRL2020-19","Consultation sur le chlorhydrate de propamocarbe, limites maximales de résidus proposées PMRL2020-19",The Pest Management Regulatory Agency (PMRA) invites the public to submit written comments on the proposed maximum residue limit (MRL) for propamocarb hydrochloride up to 75 days from the date of publication of this consultation document. The PMRA will consider all comments received before making a final decision on the proposed MRL for propamocarb hydrochloride.,L'Agence de réglementation de la lutte antiparasitaire (ARLA) invite le grand public à présenter des commentaires écrits sur la limite maximale de résidus proposée sur le chlorhydrate de propamocarbe pendant les 75 jours suivant la date de publication de ce document de consultation. L'ARLA examinera tous les commentaires reçus concernant la LMR proposée pour le chlorhydrate de propamocarbe.,2020-08-04,2020-10-18,C,https://www.canada.ca/en/health-canada/services/consumer-product-safety/pesticides-pest-management/public/consultations/proposed-maximum-residue-limit/2020/propamocarb.html,https://www.canada.ca/fr/sante-canada/services/securite-produits-consommation/pesticides-lutte-antiparasitaire/public/consultations/limites-maximales-residus-proposees/2020/propamocarbe.html,N,,,hc-sc,Health Canada | Santé Canada
C-0000079,,HS,Consultation: Access to substances temporarily controlled under the CDSA,Consultation : Accès à des substances temporairement assujetties à la Loi réglementant certaines drogues et autres substances,The purpose of this consultation is to ask for comments on our intention to change Part J of the Food and Drug Regulations. These changes would allow access for research to substances that are under temporary control.,"La présente consultation a pour but de recueillir des commentaires sur notre intention de modifier la Partie J du Règlement sur les aliments et drogues. Ces modifications permettraient l'accès, à des fins de recherche, à des substances temporairement assujetties à la Loi.",2017-08-26,2017-09-25,C,https://www.canada.ca/en/health-canada/programs/consultation-access-temporarily-controlled-substances-cdsa.html,https://www.canada.ca/fr/sante-canada/programmes/consultation-acces-substances-temporairement-assujetties-loi-reglementant-certaines-drogues-autres-substances.html,N,,,hc-sc,Health Canada | Santé Canada
C-0000080,,"FD,HS",Possible Changes to the Food and Drug Regulations: Generic Drug Equivalence and Related Terminology,Changements possibles au Règlement sur les aliments et drogues : Équivalence des médicaments génériques et terminologie connexe,"This Notice of Intent serves to solicit comments on possible changes to the Food and Drug Regulations around establishing pharmaceutical equivalence between a proposed generic drug product and the Canadian Reference Product (CRP). Health Canada also proposes to define the meaning of “medicinal ingredient” and other key terms (e.g., therapeutic moiety and drug product). In doing so, Health Canada aims to create greater alignment and convergence with the practices of other major regulatory jurisdictions and to standardize their use with those applied internationally.",Le présent avis d’intention vise à solliciter les commentaires des intervenants sur des changements qui seront possiblement apportés au Règlement sur les Aliments et Drogues pour établir une équivalence pharmaceutique entre un médicament générique proposé et le Produit de référence canadien (PRC). Santé Canada propose aussi d’établir la signification de « ingrédient médicinal » et d’autres termes clés (c.-à-d. fraction thérapeutique et produit pharmaceutique). Santé Canada souhaite ainsi assurer une meilleure harmonie et convergence avec les pratiques d’autres grandes administrations réglementaires et normaliser la terminologie avec celle appliquée dans le monde.,2017-06-30,2017-09-27,C,https://www.canada.ca/en/health-canada/services/drugs-health-products/public-involvement-consultations/drug-products/generic-drug-equivalence-notice.html ,https://www.canada.ca/fr/sante-canada/services/medicaments-produits-sante/participation-public-consultations/medicaments/equivalence-medicaments-generiques-avis.html,N,,,hc-sc,Health Canada | Santé Canada
C-0000081,,HS,"Consultation on Amitraz, Proposed Re‑evaluation Decision PRVD2017-06","Consultation sur l'amitraze, projet de décision de réévaluation PRVD2017-06",The Pest Management Regulatory Agency (PMRA) invites the public to submit written comments on the proposed re-evaluation decision for amitraz in pet collars. Proposed Re-evaluation Decision PRVD2017-06 is a consultation document that summarizes the science evaluation for amitraz in pet collars and presents the reasons for the proposed decision. The PMRA will consider any the comments received. A science-based approach will be applied in making a final decision on amitraz in pet collars.,L'Agence de réglementation de la lutte antiparasitaire (ARLA) invite le grand public à présenter des commentaires écrits sur la décision de réévaluation proposée concernant l'utilisation de l'amitraze dans les colliers pour animaux domestiques. Le projet de décision de réévaluation PRVD2017-06 est un document de consultation qui résume l'évaluation scientifique de l'amitraze dans les colliers pour animaux domestiques et les fondements de la décision proposée. L'ARLA examinera tous les commentaires reçus. La prise de décision définitive au sujet de l'homologation de l'amitraze dans les colliers pour animaux domestiques sera fondée sur une démarche scientifique.,2017-06-30,2017-09-28,C,https://www.canada.ca/en/health-canada/services/consumer-product-safety/pesticides-pest-management/public/consultations/proposed-re-evaluation-decisions/2017/amitraz.html,https://www.canada.ca/fr/sante-canada/services/securite-produits-consommation/pesticides-lutte-antiparasitaire/public/consultations/decisions-reevaluation/2017/amitraze.html,N,,,hc-sc,Health Canada | Santé Canada
C-0000082,,HS,"Consultation on Phosmet, Proposed Re evaluation Decision PRVD2017-07","Consultation sur l’utilisation du Phosmet, projet de décision de réévaluation PRVD2017-07",The Pest Management Regulatory Agency (PMRA) invites the public to submit written comments on the proposed re-evaluation decision for phosmet. Proposed Re-evaluation Decision PRVD2017-07 is a consultation document that summarizes the science evaluation for phosmet and presents the reasons for the proposed decision. The PMRA will consider any comments received. A science-based approach will be applied in making a final decision on phosmet.,L'Agence de réglementation de la lutte antiparasitaire (ARLA) invite le grand public à présenter des commentaires écrits sur la décision de réévaluation proposée sur l'utilisation du phosmet. Le projet de décision de réévaluation PRVD2017-07 est un document de consultation qui résume l'évaluation scientifique du l'utilisation du phosmet et les fondements de la décision proposée. L'ARLA examinera tous les commentaires reçus. La prise de décision définitive au sujet de l'homologation de l'utilisation du phosmet sera fondée sur une démarche scientifique.,2017-06-30,2017-09-28,C,https://www.canada.ca/en/health-canada/services/consumer-product-safety/pesticides-pest-management/public/consultations/proposed-re-evaluation-decisions/2017/phosmet.html  ,https://www.canada.ca/fr/sante-canada/services/securite-produits-consommation/pesticides-lutte-antiparasitaire/public/consultations/decisions-reevaluation/2017/phosmet.html,N,,,hc-sc,Health Canada | Santé Canada
C-0000084,,"FD,HS",Notice - Prohibiting the use of partially hydrogenated oils in foods,Avis de modification : Interdire le recours aux huiles partiellement hydrogénées (HPH) dans les aliments,"Health Canada published the Notice of Proposal: Prohibiting the Use of Partially Hydrogenated Oils (PHOs) in Foods – Reference Number: NOP/ADP-C-2017-3 on April 7, 2017, which was open to the public for comments for 75 days.",Santé Canada a publié un Avis de Proposition : Interdire l’utilisation des huiles partiellement hydrogénées (HPH) dans les aliments – Numéro de référence : NOP/ADP-C-2017-3 le 7 avril mars 2017 pour une période de 75 jours.,2017-04-07,2017-06-21,C,https://www.canada.ca/en/health-canada/services/food-nutrition/public-involvement-partnerships/modification-prohibiting-use-partially-hydrogenated-oils-in-foods.html,https://www.canada.ca/fr/sante-canada/services/aliments-nutrition/participation-public-partenariats/modification-interdire-recours-aux-huiles-partiellement-hydrogenees-dans-aliments.html,N,,,hc-sc,Health Canada | Santé Canada
C-0000335,,"EN,HS,NR",Consultation - Guidance on Natural Organic Matter in Drinking Water ,Consultation - Document de conseils sur la matière organique naturelle dans l’eau potable,"Opened on March 15, 2019 and will close on May 15, 2019.

Find out how to participate in the consultation for the drinking water guidance document on natural organic matter in drinking water",La consultation a débuté le 15 mars 2019 et terminera le 15 mai 2019. Découvrez comment participer à la consultation pour le document de conseils sur la matière organique naturelle dans l’eau potable,2019-03-15,2019-05-15,C,https://www.canada.ca/en/health-canada/programs/consultation-organic-matter-drinking-water.html,https://www.canada.ca/fr/sante-canada/programmes/consultation-matiere-organic-naturelle-eau-potable.html,N,,,hc-sc,Health Canada | Santé Canada
C-0000336,,"EN,HS,NR",Consultation - Cadmium in Drinking Water,Consultation - Le cadmium dans l’eau potable,The available information on cadmium has been assessed with the intent of updating the current drinking water guideline and guideline technical document. The purpose of this consultation is to solicit comments on the proposed document. The document is being made available for a 60-day public consultation period.,On a évalué l’information disponible sur le cadmium en vue de mettre à jour la recommandation actuelle pour le cadmium dans l’eau potable et le document technique connexe. La présente consultation vise à solliciter des commentaires sur le document technique proposée. Ce document est mis à la disposition du public pour une période de consultation de 60 jours.,2019-03-16,2019-05-15,C,https://www.canada.ca/en/health-canada/programs/consultation-cadmium-drinking-water.html,https://www.canada.ca/fr/sante-canada/programmes/consultation-cadmium-eau-potable.html,N,,,hc-sc,Health Canada | Santé Canada
C-0000491,,"HS,PO",Release of draft (step 2) ICH guidance: M7(R2): Assessment and Control of DNA Reactive (mutagenic) Impurities in Pharmaceuticals to Limit Potential Carcinogenic Risk,Publication de l'ébauche (étape 2) de ligne directrice de l’ICH : M7(R2): Évaluation et contrôle des impuretés réactives de l’ADN (mutagènes) dans les produits pharmaceutiques pour limiter les risques de cancérogénicité,The above referenced draft guidance was released by the International Council for Harmonisation (ICH) Assembly for consultation and is being posted on the ICH website for information and comment in accordance with Step 2 of the ICH.process.,La ligne directrice susmentionnée a été publiée par l'assemblée de l'International Council for Harmonisation (l'ICH) à des fins de consultation et est publiée sur le site Web de l'ICH à titre d'information et en vue de recueillir des commentaires conformément à l'étape 2 du processus de l'ICH.,2020-07-07,2020-10-05,C,https://www.canada.ca/en/health-canada/services/drugs-health-products/drug-products/applications-submissions/guidance-documents/international-conference-harmonisation/consultations/draft-step-2-ich-guidance-m7-r2-assessment-control-dna-reactive-impurities-pharmaceuticals-carcinogenic-risk.html,https://www.canada.ca/fr/sante-canada/services/medicaments-produits-sante/medicaments/demandes-presentations/lignes-directrices/international-conference-harmonisation/consultations/ebauche-etape-2-ligne-directrice-ich-m7-r2-evaluation-controle-impuretes-reactives-adn-produits-pharmaceutiques-risques-cancerogenicite.html,N,,,hc-sc,Health Canada | Santé Canada
C-0000489,,"HS,PO",Proposed re-evaluation decision for dazomet ,Projet de décision de réévaluation concernant le dazomet,"Dazomet is an “in-can” material preservative against bacterial and fungal contamination or spoilage of adhesives, adhesive coatings, latex paints, aqueous emulsions, coatings, slurries, paper, paper coatings, concrete admixtures and high viscosity suspensions. Health Canada is proposing cancellation of the paper and paper coating uses of dazomet, while products containing dazomet for other material preservative uses are acceptable for continued registration in Canada, provided proposed risk mitigation measures are in place.","Le dazomet est un agent de préservation « en boîte » utilisé pour lutter contre la contamination bactérienne et fongique ou la détérioration des adhésifs, des revêtements adhésifs, des peintures aux latex, des émulsions aqueuses, des enduits, des boues, du papier, des revêtements de papier, des adjuvants pour béton et des suspensions à viscosité élevée. Santé Canada propose de révoquer l'homologation des utilisations du dazomet pour le papier et les revêtements de papier, mais juge acceptable le maintien de l'homologation des produits contenant du dazomet pour les autres utilisations comme agent de préservation au Canada, pourvu que soient mises en place les mesures d'atténuation des risques proposées.",2020-07-09,2020-10-07,C,https://www.canada.ca/en/health-canada/services/consumer-product-safety/pesticides-pest-management/public/consultations/proposed-re-evaluation-decisions/2020/pesticides-used-preservatives-paints-coatings.html#a5,https://www.canada.ca/fr/sante-canada/services/securite-produits-consommation/pesticides-lutte-antiparasitaire/public/consultations/decisions-reevaluation/2020/pesticides-utilises-agents-preservation-peintures-enduits.html#a5,N,,,hc-sc,Health Canada | Santé Canada
C-0000343,,"HS,YJ",Consultation - Reducing Youth Access and Appeal of Vaping Products: Potential Regulatory Measures,Consultation - Réduire l’accessibilité et l’attrait des produits de vapotage pour les jeunes : Les mesures réglementaires possibles,"This consultation will gather comments on additional regulatory measures that would aim to reduce youth use of vaping products, including:

prohibiting the manufacture and sale of vaping products with certain flavours or flavour ingredients and/or prohibiting the promotion of certain flavours
restricting the concentration and/or delivery of nicotine in vaping products
regulating design features
restricting online retail access
restricting product packaging
increasing regulatory transparency and openness
Input gathered through this consultation will be used to inform the development of proposed regulations to further reduce youth access and appeal of vaping products.","Cette consultation recueillera les commentaires sur le développement de mesures réglementaires supplémentaires dont l'objectif serait de réduire l'utilisation des produits de vapotage chez les jeunes, ce qui pourrait inclure:

interdire la fabrication et la vente de produits de vapotage qui ont des saveurs ou des ingrédients aromatisants particuliers et/ou à interdire la promotion de certaines saveurs
limiter la concentration et/ou l'apport de nicotine dans les produits de vapotage
réglementer les éléments de conception
limiter l'accès à la vente au détail en ligne
imposer des restrictions sur l'emballage des produits
faire preuve d'une plus grande ouverture et transparence à l'égard des activités liées à la conformité et à l'application de la loi
Les commentaires recueillis au moyen de cette consultation seront utilisés pour informer le développement de mesures réglementaires proposées afin de réduire davantage l'accès au produit de vapotage et leur attrait pour les jeunes.",2019-04-11,2019-05-25,C,https://www.canada.ca/en/health-canada/programs/consultation-reducing-youth-access-appeal-vaping-products-potential-regulatory-measures.html,https://www.canada.ca/fr/sante-canada/programmes/consultation-reduire-accessibilite-attrait-produits-vapotage-jeunes-mesures-reglementaires-possible.html,Y,https://www.canada.ca/en/health-canada/services/publications/healthy-living/consultation-summary-reducing-youth-access-appeal-vaping-products.html,https://www.canada.ca/fr/sante-canada/services/publications/vie-saine/sommaire-consultation-reduire-accessibilite-attrait-produits-vapotage-jeunes.html,hc-sc,Health Canada | Santé Canada
C-0000494,,"HS,PO","Consultation on Glufosinate-Ammonium, Proposed Maximum Residue Limit PMRL2020-07","Consultation sur le glufosinate-ammonium, limites maximales de résidus proposées PMRL2020-07",The Pest Management Regulatory Agency (PMRA) invites the public to submit written comments on the proposed maximum residue limit (MRL) for glufosinate-ammonium up to 75 days from the date of publication of this consultation document. The PMRA will consider all comments received before making a final decision on the proposed MRL for glufosinate-ammonium.,L'Agence de réglementation de la lutte antiparasitaire (ARLA) invite le grand public à présenter des commentaires écrits sur la limite maximale de résidus proposée sur le glufosinate-ammonium pendant les 75 jours suivant la date de publication de ce document de consultation. L'ARLA examinera tous les commentaires reçus concernant la LMR proposée pour le glufosinate-ammonium.,2020-07-15,2020-09-28,C,https://www.canada.ca/en/health-canada/services/consumer-product-safety/pesticides-pest-management/public/consultations/proposed-maximum-residue-limit/2020/glufosinate-ammonium.html,https://www.canada.ca/fr/sante-canada/services/securite-produits-consommation/pesticides-lutte-antiparasitaire/public/consultations/limites-maximales-residus-proposees/2020/glufosinate-ammonium.html,N,,,hc-sc,Health Canada | Santé Canada
C-0000085,,HS,"Consultation on Cyclaniliprole, Proposed Maximum Residue Limit PMRL2017-24","Consultation sur le Cyclaniliprole, limites maximales de résidus proposées PMRL2017-24",The Pest Management Regulatory Agency (PMRA) invites the public to submit written comments on the proposed maximum residue limit (MRL) for cyclaniliprole up to 75 days from the date of publication of this consultation document. The PMRA will consider all comments received before making a final decision on the proposed MRL for cyclaniliprole.,L'Agence de réglementation de la lutte antiparasitaire (ARLA) invite le grand public à présenter des commentaires écrits sur la limite maximale de résidus proposée le cyclaniliprole pendant les 75 jours suivant la date de publication de ce document de consultation. L'ARLA examinera tous les commentaires reçus concernant la LMR proposée pour le cyclaniliprole.,2017-07-28,2017-10-11,C,https://www.canada.ca/en/health-canada/services/consumer-product-safety/pesticides-pest-management/public/consultations/proposed-maximum-residue-limit/2017/pmrl2017-24-cyclaniliprole.html,https://www.canada.ca/fr/sante-canada/services/securite-produits-consommation/pesticides-lutte-antiparasitaire/public/consultations/limites-maximales-residus-proposees/2017/pmrl2017-24-cyclaniliprole.html,N,,,hc-sc,Health Canada | Santé Canada
C-0000133,,"HS,PO","Consultation on Imidacloprid, Proposed Maximum Residue Limit PMRL2017-35","Consultation sur l'Imidaclopride, limites maximales de résidus proposées PMRL2017-35",The Pest Management Regulatory Agency (PMRA) invites the public to submit written comments on the proposed maximum residue limit (MRL) for imidacloprid up to 75 days from the date of publication of this consultation document. The PMRA will consider all comments received before making a final decision on the proposed MRL for imidacloprid.,L'Agence de réglementation de la lutte antiparasitaire (ARLA) invite le grand public à présenter des commentaires écrits sur la limite maximale de résidus proposée sur l'imidaclopride pendant les 75 jours suivant la date de publication de ce document de consultation. L'ARLA examinera tous les commentaires reçus concernant la LMR proposée pour l'imidaclopride.,2017-12-19,2018-03-04,C,https://www.canada.ca/en/health-canada/services/consumer-product-safety/pesticides-pest-management/public/consultations/proposed-maximum-residue-limit/2017/imidacloprid.html,https://www.canada.ca/fr/sante-canada/services/securite-produits-consommation/pesticides-lutte-antiparasitaire/public/consultations/limites-maximales-residus-proposees/2017/imidaclopride.html,N,,,hc-sc,Health Canada | Santé Canada
C-0000134,,"HS,PO","Consultation on the special review of Dichlorvos and its associated end-use products: Proposed decision for Consultation Document, Re-evaluation Note REV2018-01","Consultation sur l'examen spécial du dichlorvos et de ses préparations commerciales connexes : projet de décision aux fins de consultation, Note de réévaluation REV2018-01",The Pest Management Regulatory Agency (PMRA) invites the public to submit written comments on the Re-evaluation Note for Special Review of Dichlorvos and Its Associated End-use Products: Proposed Decision for Consultation. Re-evaluation Note REV2018-01 is a consultation document. This document outlines the legislative requirements for special reviews as set out in the Pest Control Products Act as well as presents the proposed approach to special reviews. The PMRA will consider all the comments received before making a final decision on the approach to special reviews.,L'Agence de réglementation de la lutte antiparasitaire (ARLA) invite le grand public à présenter des commentaires écrits sur la Note de réévaluation sur l'examen spécial du dichlorvos et de ses préparations commerciales connexes : projet de décision aux fins de consultation. La note de réévaluation REV2018-01 est un document de consultation qui décrit les exigences prévues par la Loi sur les produits antiparasitaires en matière d'examens spéciaux ainsi que la démarche proposée pour effectuer ces examens. L'ARLA examinera l'ensemble des commentaires reçus avant de prendre une décision définitive au sujet de la démarche à adopter en ce qui a trait aux examens spéciaux.,2018-01-19,2018-03-05,C,https://www.canada.ca/en/health-canada/services/consumer-product-safety/pesticides-pest-management/public/consultations/re-evaluation-note/2018/special-review-dichlorvos.html ,https://www.canada.ca/fr/sante-canada/services/securite-produits-consommation/pesticides-lutte-antiparasitaire/public/consultations/notes-reevaluation/2018/examen-special-dichlorvos.html,N,,,hc-sc,Health Canada | Santé Canada
C-0000135,,HS,"Consultation on Metam Sodium and Metam Potassium and their Associated End-use Products, Proposed Re evaluation Decision PRVD2017-22","Consultation sur le métam-sodium, le métam-potassium et les préparations commerciales apparentées, Projet de décision de réévaluation PRVD2017-22","Metam sodium and metam potassium are pesticides used by professional applicators to control various pests in soil, to preserve wood, to control tree roots in sewers, and to control microbes in industrial water. Labels for products containing metam sodium and metam potassium can be found in the pesticide label search database. Following a scheduled re-evaluation under the Re-evaluation Program, Health Canada is consulting Canadians on the proposal to continue the registration of metam sodium and metam potassium products with implementation of additional risk mitigation measures and updated label statements.

These include:

Label amendments to meet current labelling standards
Additional protection measures for workers
Additional environmental label statements
For more information on the proposed decision open the ""Proposed Re-evaluation Decision"".","Le métam-sodium et le métam-potassium sont des pesticides utilisés par des spécialistes de la lutte antiparasitaire pour lutter contre divers organismes nuisibles dans le sol, pour préserver le bois, pour supprimer les racines d'arbres dans les conduites d'égout et pour lutter contre l'activité microbienne dans les systèmes industriels de traitement de l'eau. Les étiquettes des produits contenant du métam-sodium et du métam-potassium se trouvent dans la base de données de recherche dans les étiquettes de pesticides. Au terme d'une réévaluation prévue à son Programme de réévaluation, Santé Canada consulte la population canadienne concernant le projet de maintenir l'homologation des produits à base de métam-sodium et de métam-potassium à la condition que d'autres mesures d'atténuation des risques et des énoncés d'étiquette à jour soient mis en œuvre.

Ces mesures comprennent notamment :

modifications aux étiquettes afin de respecter les normes d'étiquetage en vigueur;
l'ajout de mesures de protection supplémentaires pour les travailleurs;
l'ajout d'énoncés d'étiquette supplémentaires concernant l'environnement.
Pour obtenir de plus amples renseignements, ouvrir le lien « Projet de décision de réévaluation ».",2017-12-07,2018-03-07,C,https://www.canada.ca/en/health-canada/services/consumer-product-safety/pesticides-pest-management/public/consultations/proposed-re-evaluation-decisions/2017/metam.html,https://www.canada.ca/fr/sante-canada/services/securite-produits-consommation/pesticides-lutte-antiparasitaire/public/consultations/decisions-reevaluation/2017/metame.html,N,,,hc-sc,Health Canada | Santé Canada
C-0000136,,HS,"Consultation on Piperine and Oil of Black Pepper and Their Associated End-use Products, Proposed Re evaluation Decision PRVD2017-25","Consultation sur la pipérine, l’huile de poivre noir et les préparations commerciales apparentées, Projet de décision de réévaluation PRVD2017-25","Piperine and oil of black pepper are registered pesticides derived from black pepper. They are used by the general public indoors and outdoors to repel cats, dogs, groundhogs, raccoons, skunks, and squirrels by causing irritation when animals touch or taste treated items. End-use piperine or oil of black pepper product names include Scent-A-Gone Animal Repellent and Chemfree Critter Ridder. (Find labels for all registered products in the label search database.) Following a scheduled re-evaluation under the Re-evaluation Program, Health Canada’s Pest Management Regulatory Agency (PMRA) is consulting Canadians on the proposal to continue the registration of piperine and oil of black pepper, with updated label statements about storage and disposal, to reflect current health and environmental standards.

For more information on the proposed decision open the “Proposed Re-evaluation Decision.”","La pipérine et l’huile de poivre noir, qui sont issues du poivrier noir, sont des pesticides homologués et utilisés par le grand public à l’intérieur et à l’extérieur comme répulsifs pour animaux pour éloigner les chats, les chiens, les marmottes, les ratons laveurs, les mouffettes et les écureuils en provoquant une irritation chez les animaux qui touchent ou ingèrent ces produits. Les préparations commerciales contenant de la pipérine ou de l’huile de poivre noir portent le nom de Scent-A-Gone Répulsif animal et de Chemfree Fiche le camp. (Les étiquettes de tous les produits homologués se trouvent dans la base de données de recherche dans les étiquettes de pesticides). Au terme d’une réévaluation prévue à son Programme de réévaluation, Santé Canada consulte la population canadienne concernant le projet de maintenir l’homologation des produits à base pipérine et d’huile de poivre noir, à la condition que les énoncés d’étiquette sur l’entreposage et l’élimination soient mis à jour pour respecter les normes sanitaires et environnementales en vigueur.

Pour obtenir de plus amples renseignements, ouvrir le lien « Projet de décision de réévaluation ».",2017-12-12,2018-03-12,C,https://www.canada.ca/en/health-canada/services/consumer-product-safety/pesticides-pest-management/public/consultations/proposed-re-evaluation-decisions/2017/piperine.html?_ga=2.233582238.1249695767.1513612483-457480787.1503927440,https://www.canada.ca/fr/sante-canada/services/securite-produits-consommation/pesticides-lutte-antiparasitaire/public/consultations/decisions-reevaluation/2017/piperine.html,N,,,hc-sc,Health Canada | Santé Canada
C-0000341,,"FD,HS",Notice of Intent to Issue Food Marketing  Authorization ,Avis d’intention de délivrer une autorisation de mise en marché d’un aliment,The purpose of this notice is to inform Canadians and other interested stakeholders of the Minister of Health’s intent to amend three marketing authorizations for food additives in order to allow Health Canada to enable five new food additive uses that have been scientifically evaluated and found to be safe.,L’objectif de cet avis consiste à informer la population canadienne et les autres intervenants concernés de l’intention de la ministre de la Santé de modifier trois autorisations de mise en marché d’additifs alimentaires afin de permettre à Santé Canada d’autoriser cinq nouvelles utilisations d’additifs alimentaires ayant été évaluées scientifiquement et dont l’innocuité a été reconnue.,2019-04-08,2019-05-08,C,https://www.canada.ca/en/health-canada/services/food-nutrition/food-safety/food-additives/lists-permitted/notice-intent-amendment-three-marketing-authorizations-food-additives.html,https://www.canada.ca/fr/sante-canada/services/aliments-nutrition/salubrite-aliments/additifs-alimentaires/listes-autorises/avis-intention-modification-trois-autorisations-mise-marche-additifs-alimentaires.html,N,,,hc-sc,Health Canada | Santé Canada
C-0000496,,"HS,PO","Consultation on Kresoxim-methyl and Its Associated End-use Products, Proposed Re‑evaluation Decision PRVD2020-10","Consultation sur le krésoxim-méthyl et préparations commerciales connexes, Projet de décision de réévaluation PRVD2020-10","Health Canada is consulting Canadians on the proposal that products containing kresoxim-methyl are acceptable for continued registration in Canada.

Kresoxim-methyl is a fungicide registered for use on apples, pears and grapes and can be applied by ground application equipment only to manage mildew and black rot on those fruit. As a result of the re-evaluation of kresoxim-methyl, Health Canada’s Pest Management Regulatory Agency (PMRA) proposes further risk-reduction measures in addition to those already identified on kresoxim-methyl product labels.","Santé Canada consulte la population canadienne sur son projet de maintenir l’homologation des produits contenant du krésoxim-méthyl.  

Le krésoxim-méthyl est un fongicide qui est homologué pour une utilisation sur les pommes, les poires et les raisins, et qui peut être appliqué au moyen d’un équipement au sol seulement pour supprimer le blanc et la pourriture noire sur ces fruits. À la suite d’une réévaluation du krésoxim-méthyl, l’Agence de réglementation de la lutte antiparasitaire (ARLA) de Santé Canada propose d’autres mesures de réduction des risques, en plus de celles figurant déjà aux étiquettes des produits contenant du krésoxim-méthyl. ",2020-07-16,2020-10-14,C,https://www.canada.ca/en/health-canada/services/consumer-product-safety/pesticides-pest-management/public/consultations/proposed-re-evaluation-decisions/2020/kresoxim-methyl.html,https://www.canada.ca/fr/sante-canada/services/securite-produits-consommation/pesticides-lutte-antiparasitaire/public/consultations/decisions-reevaluation/2020/kresoxim-methyl.html,N,,,hc-sc,Health Canada | Santé Canada
C-0000497,,"HS,PO",Consultation: Guidance on Monitoring the Biological Stability of Drinking Water in Distribution Systems,Consultation : Conseils sur la surveillance de la stabilité biologique de l’eau potable dans les réseaux de distribution,"The purpose of this consultation is to solicit comments on the proposed guidance document and the approach used for its development, and on the potential economic costs of implementing it.","La présente consultation vise à solliciter des commentaires sur le document de conseils proposée, la démarche suivie pour l'élaborer et les coûts possibles de sa mise en œuvre.",2020-07-17,2020-10-16,C,https://www.canada.ca/en/health-canada/programs/consultation-guidance-biological-stability-water-distribution-systems.html,https://www.canada.ca/fr/sante-canada/programmes/consultation-conseils-stabilite-biologique-eau-reseaux-distribution.html,N,,,hc-sc,Health Canada | Santé Canada
C-0000199,,"HS,PO","Consultation on Novaluron, Proposed Maximum Residue Limit PMRL2018-18 ","Consultation sur le novaluron, limites maximales de résidus proposées PMRL2018-18",The Pest Management Regulatory Agency (PMRA) invites the public to submit written comments on the proposed maximum residue limit (MRL) for novaluron up to 75 days from the date of publication of this consultation document. The PMRA will consider all comments received before making a final decision on the proposed MRL for novaluron.,L’Agence de réglementation de la lutte antiparasitaire (ARLA) invite le grand public à présenter des commentaires écrits sur la limite maximale de résidus proposée sur le novaluron pendant les 75 jours suivant la date de publication de ce document de consultation. L’ARLA examinera tous les commentaires reçus concernant la LMR proposée pour le novaluron.,2018-07-11,2018-09-22,C,https://www.canada.ca/en/health-canada/services/consumer-product-safety/pesticides-pest-management/public/consultations/proposed-maximum-residue-limit/2018/novaluron.html,https://www.canada.ca/fr/sante-canada/services/securite-produits-consommation/pesticides-lutte-antiparasitaire/public/consultations/limites-maximales-residus-proposees/2018/novaluron.html,N,,,hc-sc,Health Canada | Santé Canada
C-0000501,,"HS,PO","Consultation on MCPA, Proposed Maximum Residue Limit PMRL2020-12","Consultation sur le MCPA, limites maximales de résidus proposées PMRL2020-12",The Pest Management Regulatory Agency (PMRA) invites the public to submit written comments on the proposed maximum residue limit (MRL) for MCPA up to 75 days from the date of publication of this consultation document. The PMRA will consider all comments received before making a final decision on the proposed MRL for MCPA.,L’Agence de réglementation de la lutte antiparasitaire (ARLA) invite le grand public à présenter des commentaires écrits sur la limite maximale de résidus proposée sur le MCPA pendant les 75 jours suivant la date de publication de ce document de consultation. L’ARLA examinera tous les commentaires reçus concernant la LMR proposée pour le MCPA.,2020-07-23,2020-10-06,C,https://www.canada.ca/en/health-canada/services/consumer-product-safety/pesticides-pest-management/public/consultations/proposed-maximum-residue-limit/2020/mcpa-canarygrass.html,https://www.canada.ca/fr/sante-canada/services/securite-produits-consommation/pesticides-lutte-antiparasitaire/public/consultations/limites-maximales-residus-proposees/2020/mcpa-alpiste-canaries.html,N,,,hc-sc,Health Canada | Santé Canada
